date,title,links
2017-10-18,(In)variability in the Samoan syntax/prosody interface and consequences for syntactic parsing,http://www.krisyu.org/blog/supp-material-invariability-samoan-interface.html
2017-03-13,A Kinematic Study of Prosodic Structure in Articulatory and Manual Gestures: Results from a Novel Method of Data Collection,NA
2017-08-22,A replicable acoustic measure of lenition and the nature of variability in Gurindji stops,https://github.com/erichround/stop_lenition
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.Everyzing.com
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.play.it
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.Everyzing.com
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.play.it
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.play.it
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.play.it
2017-07-11,Acoustic classification of focus: On the web and in the lab,http://www.Audiosear.ch
2017-07-11,Acoustic classification of focus: On the web and in the lab,mailto:tobi.ling.ohio-state.edu
2017-04-04,Allophonic tunes of contrast: Lab and spontaneous speech lead to equivalent fixation responses in museum visitors,http://bln.osu.edu/LanguagePod.php
2018-10-09,An acoustic study of vowel intrusion in Turkish onset clusters,NA
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx3
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx4
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav2a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav2b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx5
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx6
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav3a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav3b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav4a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav4b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx7
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx8
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx9
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx10
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx11
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx12a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx12b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav5a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav5b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav5c
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav5d
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav6a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav6b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav7a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav7b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav7c
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav7d
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav8a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav8b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav8c
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav9a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav9b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav11a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wav11b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx19a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx19b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx20a
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx20b
2016-06-30,Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx21a
