title,links,status,lastChecked,type,accountNeeded,date
(In)variability in the Samoan syntax/prosody interface and consequences for syntactic parsing,http://www.krisyu.org/blog/supp-material-invariability-samoan-interface.html,dead,2020-10-03,NA,NA,2017-10-18
A Kinematic Study of Prosodic Structure in Articulatory and Manual Gestures: Results from a Novel Method of Data Collection,NA,NA,2020-10-03,NA,NA,2017-03-13
A replicable acoustic measure of lenition and the nature of variability in Gurindji stops,https://github.com/erichround/stop_lenition,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-08-22
Acoustic classification of focus: On the web and in the lab,http://www.Everyzing.com,alive,2020-10-03,irrelevant/miscellaneous,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,http://www.play.it,dead,2020-10-03,NA,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,http://www.Everyzing.com,alive,2020-10-03,irrelevant/miscellaneous,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,http://www.play.it,dead,2020-10-03,NA,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,http://www.play.it,dead,2020-10-03,NA,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,http://www.play.it,dead,2020-10-03,NA,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,http://www.Audiosear.ch,dead,2020-10-03,NA,NA,2017-07-11
Acoustic classification of focus: On the web and in the lab,mailto:tobi.ling.ohio-state.edu,NA,2020-10-03,email,NA,2017-07-11
Allophonic tunes of contrast: Lab and spontaneous speech lead to equivalent fixation responses in museum visitors,http://bln.osu.edu/LanguagePod.php,alive,2020-10-03,unclear,NA,2017-04-04
An acoustic study of vowel intrusion in Turkish onset clusters,NA,NA,2020-10-03,NA,NA,2018-10-09
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx3,alive,2020-10-03,soundfile,NA,2016-06-30
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.wavEx4,alive,2020-10-03,soundfile,NA,2016-06-30
