Source,Statistic,df1,df2,Test.Comparison,Value,Reported.Comparison,Reported.P.Value,Computed,Raw,Error,DecisionError,OneTail,OneTailedInTxt,APAfactor
100-2065-3-PB,Z,NA,NA,=,0.268,>,0.788,0.788699319,"Z = 0.268, p > 0.788",FALSE,FALSE,FALSE,TRUE,0.3
100-2065-3-PB,Z,NA,NA,=,0.323,>,0.746,0.746695242,"Z = 0.323, p > 0.746",FALSE,FALSE,FALSE,TRUE,0.3
100-2065-3-PB,Chi2,5,NA,=,23.6,<,0.001,0.000259104," 2(5) = 23.6, p < .001",FALSE,FALSE,FALSE,TRUE,0.3
10-280-1-PB,F,1,58,=,22.48,<,0.001,1.42E-05,"F(1,58) = 22.48,
p <.001",FALSE,FALSE,FALSE,FALSE,1
10-280-1-PB,F,1,58,=,153.19,<,0.001,6.45E-18,"F(1,58) = 153.19, p < .001",FALSE,FALSE,FALSE,FALSE,1
10-280-1-PB,F,1,58,=,20.32,<,0.001,3.23E-05,"F(1,58) = 20.32,
p <.001",FALSE,FALSE,FALSE,FALSE,1
10-280-1-PB,F,1,58,=,6.94,<,0.05,0.010790658,"F(1,58) = 6.94, p <.05",FALSE,FALSE,FALSE,FALSE,1
10-280-1-PB,F,1,58,=,12.86,<,0.01,0.00068954,"F(1,58) = 12.86, p <.01",FALSE,FALSE,FALSE,FALSE,1
10-280-1-PB,Z,NA,NA,=,-2.64,<,0.01,0.008290603,"Z = -2.64, p <.01",FALSE,FALSE,FALSE,FALSE,1
10-280-1-PB,Z,NA,NA,=,-0.81,=,0.42,0.417940176,"Z = -.81, p = .42",FALSE,FALSE,FALSE,FALSE,1
110-1444-1-PB,F,1,18,=,0.821,>,0.1,0.376857725,"F(1, 18) = .821,
p > .1",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,1,18,=,205.737,<,0.001,2.72E-11,"F(1, 18) = 205.737,
p < .001",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,2,36,=,18.048,<,0.001,3.72E-06,"F(2, 36) = 18.048, p < .001",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,2,36,=,212.862,<,0.001,1.13E-20,"F(2, 36) = 212.862, p < .001",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,t,NA,19,=,-2.485,<,0.05,0.022438163,"t(19) = -2.485,
p < .05",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,1,18,=,1.213,>,0.1,0.285248894,"F(1, 18) = 1.213, p > .1",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,1,18,=,3.035,>,0.05,0.098547158,"F(1, 18) = 3.035, p > .05",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,2,36,=,43.516,<,0.001,2.47E-10,"F(2, 36) = 43.516, p < .001",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,F,2,36,=,26.139,<,0.001,9.73E-08,"F(2, 36) = 26.139, p < .001",FALSE,FALSE,FALSE,FALSE,0.82
110-1444-1-PB,t,NA,38,=,-0.405,>,0.1,0.687748514,"t(38) = -.405, p > .1",FALSE,FALSE,FALSE,FALSE,0.82
